benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/002-sc2013.cnf.bz2, glucose-4.2.1, default, 5000.03, timeout (wallclock), UNKNOWN, 0.0114889, --
sat/002-sc2013.cnf.bz2, glucose3.0, proofs, 5000.06, timeout (wallclock), UNKNOWN, 0.010311, --
sat/002-sc2013.cnf.bz2, glucose_421_del, default, 5000.03, timeout (wallclock), UNKNOWN, 0.00928688, --
sat/002-sc2013.cnf.bz2, glucose_BTL, default, 5000.04, timeout (wallclock), UNKNOWN, 0.0107831, --
sat/002-sc2013.cnf.bz2, optsat, default, 48.3723, complete, SAT-VERIFIED, 0.00954393, --
sat/002-sc2013.cnf.bz2, smallsat, default, 521.575, complete, SAT-VERIFIED, 0.012674, --
sat/003-sc2013.cnf.bz2, CCAnrSim, default, 5000.02, timeout (wallclock), UNKNOWN, 0.011029, --
sat/003-sc2013.cnf.bz2, COMiniSatPS_Pulsar_drup, drup, 5000.04, timeout (wallclock), UNKNOWN, 0.0117831, --
sat/003-sc2013.cnf.bz2, CaDiCaL, default, 5000.19, timeout (wallclock), UNKNOWN, 0.187545, --
sat/003-sc2013.cnf.bz2, CaDiCaL, sat, 4924.75, complete, SAT-VERIFIED, 0.0108479, --
sat/003-sc2013.cnf.bz2, CaDiCaL, unsat, 5000.02, timeout (wallclock), UNKNOWN, 0.01094, --
sat/003-sc2013.cnf.bz2, Candy, default, 5000.11, timeout (wallclock), UNKNOWN, 0.00908591, --
sat/003-sc2013.cnf.bz2, MLDChronoBT_GCBump, default, 5000.02, timeout (wallclock), UNKNOWN, 0.00903892, --
sat/003-sc2013.cnf.bz2, MapleCOMSPS_CHB_VSIDS_drup, CHB_VSIDS_drup, 5000.08, timeout (wallclock), UNKNOWN, 0.00974411, --
sat/003-sc2013.cnf.bz2, MapleCOMSPS_LRB_VSIDS_2_drup, LRB_VSIDS_2_drup, 5000.02, timeout (wallclock), UNKNOWN, 0.013299, --
sat/003-sc2013.cnf.bz2, MapleCOMSPS_LRB_VSIDS_drup, LRB_VSIDS_drup, 5000.02, timeout (wallclock), UNKNOWN, 0.00983611, --
sat/003-sc2013.cnf.bz2, MapleLCMChronoBT_DEL, default, 5000.05, timeout (wallclock), UNKNOWN, 0.00978291, --
sat/003-sc2013.cnf.bz2, MapleLCMChronoBT_Scavel_EWMA, default, 1270.58, complete, SAT-VERIFIED, 0.0102761, --
sat/003-sc2013.cnf.bz2, MapleLCMChronoBT_ldcr, default, 5000.05, timeout (wallclock), UNKNOWN, 0.0115291, --
sat/003-sc2013.cnf.bz2, MapleLCMDISTChronoBT_Scavel_EWMA_08ALL, default, 560.356, complete, SAT-VERIFIED, 0.010732, --
sat/003-sc2013.cnf.bz2, MapleLCMDiscChronoBT-DL-v3, default, 5000.04, timeout (wallclock), UNKNOWN, 0.00943103, --
sat/003-sc2013.cnf.bz2, MapleLCMDistChronoBT-DL-v2.1, default, 1628.13, complete, SAT-VERIFIED, 0.012612, --
sat/003-sc2013.cnf.bz2, MapleLCMDistChronoBT-DL-v2.2, default, 2412.52, complete, SAT-VERIFIED, 0.0107119, --
sat/003-sc2013.cnf.bz2, MapleLCMDistChronoBTVariableReindexing, default, 11.446, complete, SAT-INCORRECT, 0.0118939, --
sat/003-sc2013.cnf.bz2, MapleLCMdistCBTcoreFirst, default, 683.546, complete, SAT-VERIFIED, 0.010769, --
sat/003-sc2013.cnf.bz2, Maple_CM_OnlineDel_19b, default, 5000.07, timeout (wallclock), UNKNOWN, 0.0110921, --
sat/003-sc2013.cnf.bz2, Maple_LCM_BTL, default, 5000.06, timeout (wallclock), UNKNOWN, 0.011203, --
sat/003-sc2013.cnf.bz2, Maple_LCM_OnlineDel_19a, default, 5000.03, timeout (wallclock), UNKNOWN, 0.010251, --
sat/003-sc2013.cnf.bz2, Maple_LCM_Scavel_155, default, 5000.02, timeout (wallclock), UNKNOWN, 0.0144891, --
sat/003-sc2013.cnf.bz2, MergeSAT, simp_proof, 1235.48, complete, SAT-VERIFIED, 0.00975389, --
sat/003-sc2013.cnf.bz2, Minisat-v2.2.0-106-ge2dd095, simp_proof, 5000.02, timeout (wallclock), UNKNOWN, 0.00923209, --
sat/003-sc2013.cnf.bz2, PADC_MapleLCMDistChronoBT, default, 5000.02, timeout (wallclock), UNKNOWN, 0.0109561, --
sat/003-sc2013.cnf.bz2, PADC_MapleLCMDistChronoBT, nbIncRedDB_5_CT_0, 1492.99, complete, SAT-VERIFIED, 0.00968999, --
sat/003-sc2013.cnf.bz2, PADC_Maple_LCM_Dist, default, 1461.11, complete, SAT-VERIFIED, 0.010286, --
