input;id_instance;method;k;size;percent;res3700re;time;cut;ite;cover
TF-36.tf;30;ptf;3;NA;NA;NA;3700;False;1;95
TF-30.tf;31;ptf;3;NA;NA;NA;3700;False;1;95
TF-28.tf;32;ptf;3;NA;NA;NA;3700;False;1;95
TF-38.tf;33;ptf;3;NA;NA;NA;3700;False;1;95
TF-64.tf;34;ptf;3;NA;NA;NA;3700;False;1;95
TF-31.tf;35;ptf;3;NA;NA;NA;3700;False;1;95
TF-88.tf;36;ptf;3;NA;NA;NA;3700;False;1;95
cire150-1.txt;37;ptf;3;NA;NA;NA;3700;False;1;95
cire100-2.txt;38;ptf;3;NA;NA;NA;3700;False;1;95
TF-14.tf;39;ptf;3;NA;NA;NA;3700;False;1;95
TF-95.tf;40;ptf;3;NA;NA;NA;3700;False;1;95
TF-86.tf;41;ptf;3;NA;NA;NA;3700;False;1;95
TF-83.tf;42;ptf;3;NA;NA;NA;3700;False;1;95
TF-24.tf;43;ptf;3;NA;NA;NA;3700;False;1;95
TF-4.tf;44;ptf;3;NA;NA;NA;3700;False;1;95
rtf30-9.txt;45;ptf;3;NA;NA;NA;3700;False;1;95
TF-74.tf;46;ptf;3;NA;NA;NA;3700;False;1;95
TF-80.tf;47;ptf;3;NA;NA;NA;3700;False;1;95
TF-44.tf;48;ptf;3;NA;NA;NA;3700;False;1;95
TF-66.tf;49;ptf;3;NA;NA;NA;3700;False;1;95
TF-62.tf;50;ptf;3;NA;NA;NA;3700;False;1;95
TF-97.tf;51;ptf;3;NA;NA;NA;3700;False;1;95
TF-13.tf;52;ptf;3;NA;NA;NA;3700;False;1;95
scp1000-7.txt;53;ptf;3;NA;NA;NA;3700;False;1;95
scp1000-0.txt;54;ptf;3;NA;NA;NA;3700;False;1;95
scp1000-5.txt;55;ptf;3;NA;NA;NA;3700;False;1;95
rtf30-4.txt;56;ptf;3;NA;NA;NA;3700;False;1;95
TF-59.tf;57;ptf;3;NA;NA;NA;3700;False;1;95
TF-27.tf;58;ptf;3;NA;NA;NA;3700;False;1;95
TF-23.tf;59;ptf;3;NA;NA;NA;3700;False;1;95
TF-35.tf;60;ptf;3;NA;NA;NA;3700;False;1;95
scp1000-4.txt;61;ptf;3;NA;NA;NA;3700;False;1;95
TF-61.tf;62;ptf;3;NA;NA;NA;3700;False;1;95
scp1000-2.txt;63;ptf;3;NA;NA;NA;3700;False;1;95
TF-98.tf;64;ptf;3;NA;NA;NA;3700;False;1;95
TF-40.tf;65;ptf;3;NA;NA;NA;3700;False;1;95
TF-46.tf;66;ptf;3;NA;NA;NA;3700;False;1;95
TF-58.tf;67;ptf;3;NA;NA;NA;3700;False;1;95
cire150-5.txt;68;ptf;3;NA;NA;NA;3700;False;1;95
cire150-6.txt;69;ptf;3;NA;NA;NA;3700;False;1;95
TF-100.tf;70;ptf;3;NA;NA;NA;3700;False;1;95
TF-87.tf;71;ptf;3;NA;NA;NA;3700;False;1;95
cire100-6.txt;72;ptf;3;NA;NA;NA;3700;False;1;95
TF-3.tf;73;ptf;3;NA;NA;NA;3700;False;1;95
TF-73.tf;74;ptf;3;NA;NA;NA;3700;False;1;95
rtf30-3.txt;75;ptf;3;NA;NA;NA;3700;False;1;95
